"","CONGLOMERADO","NSELUA","N_PARCELAS","SUPERFICIE_TOTAL_HECT."
"1","01694","00009",1,1.3
"2","01694","00026",1,7.87
"3","01694","00028",1,0.8
"4","01694","00038",1,1.5
"5","01694","00053",2,6.53
"6","01694","00064",2,7.75
"7","01694","00066",2,6.3
"8","01694","00067",3,8.25
"9","01694","00071",2,2
"10","01694","00080",3,13.5
"11","01694","00090",1,6.5
"12","01694","00103",1,2.5
"13","01694","00104",2,7.34
"14","01694","00120",2,6.25
"15","01696","00004",1,0.209
"16","01696","00005",1,1
"17","01696","00012",1,0.34
"18","01696","00021",1,0.96
"19","01696","00032",1,1
"20","01696","00036",1,0.664
"21","01696","00057",3,6.25
"22","01696","00068",1,0.931
"23","01696","00080",2,6.276
"24","01696","00082",2,0.369
"25","01696","00097",1,0.7
"26","01696","00098",1,3.067
"27","01696","00113",1,4.3
"28","01719","00002",3,3.2
"29","01719","00016",3,2
"30","01719","00031",1,1.5
"31","01719","00044",1,1.5
"32","01719","00056",1,4
"33","01719","00057",1,2.5
"34","01719","00065",1,26
"35","01719","00076",2,0.75
"36","01719","00091",1,2.5
"37","01719","00095",1,1.5
"38","01719","00106",1,1.2
"39","01719","00120",5,13.5
"40","01719","00128",NA,NA
"41","01721","00005",4,5.75
"42","01721","00016",1,0.75
"43","01721","00024",3,2.5
"44","01721","00028",3,3
"45","01721","00044",1,0.75
"46","01721","00054",1,2.5
"47","01721","00055",1,1.3
"48","01721","00068",1,3
"49","01721","00070",1,0.5
"50","01721","00080",1,0.37
"51","01721","00088",3,4
"52","01721","00104",3,4.9
"53","01721","00117",1,1.8
"54","01721","00129",4,0.79
"55","01728","00009",1,0.45
"56","01728","00015",7,29.5
"57","01728","00018",1,2
"58","01728","00026",3,5.95
"59","01728","00027",4,13
"60","01728","00034",2,1.8
"61","01728","00046",2,2
"62","01728","00053",3,5.6
"63","01728","00057",3,41
"64","01728","00063",1,0.5
"65","01728","00072",2,1.75
"66","01728","00079",3,6
"67","01728","00083",2,4.6
"68","01739","00005",2,2.4
"69","01739","00011",1,0.16
"70","01739","00013",2,0.21
"71","01739","00015",3,8.5
"72","01739","00019",1,0.4
"73","01739","00028",2,4.5
"74","01739","00040",1,14
"75","01739","00059",1,0.7
"76","01739","00072",1,0.6
"77","01739","00080",3,3.5
"78","01739","00083",1,1.5
"79","01739","00095",1,2.5
"80","01739","00110",1,0.7
"81","01739","00111",1,0.45
"82","01740","00002",1,0.35
"83","01740","00008",2,2.5
"84","01740","00009",1,1.9
"85","01740","00022",1,0.085
"86","01740","00030",4,7
"87","01740","00034",1,2.5
"88","01740","00038",1,0.5
"89","01740","00050",2,2.7
"90","01740","00064",1,0.7
"91","01740","00075",1,0.5
"92","01740","00079",1,0.75
"93","01740","00112",2,1.5
"94","01740","00124",3,13
"95","01745","00009",1,13
"96","01745","00010",2,4.5
"97","01745","00024",1,0.5
"98","01745","00026",1,0.25
