"","CONGLOMERADO","NSELUA","N_PARCELAS","SUPERFICIE_TOTAL_HECT."
"1","01547","00010",1,1.75
"2","01547","00022",1,1
"3","01547","00042",1,1
"4","01547","00044",1,1.1
"5","01547","00050",3,2.1
"6","01547","00060",2,1.95
"7","01547","00074",1,2
"8","01547","00079",1,5.5
"9","01547","00084",2,8.69
"10","01547","00090",1,1.5
"11","01547","00104",1,0.75
"12","01547","00114",1,1.23
"13","01547","00124",3,4.5
"14","01548","00010",1,1.77
"15","01548","00015",2,2.41
"16","01548","00028",1,2.92
"17","01548","00034",1,0.75
"18","01548","00044",3,4.25
"19","01548","00052",1,1
"20","01548","00055",2,1.44
"21","01548","00063",3,3.21
"22","01548","00074",1,1.5
"23","01548","00077",1,1.25
"24","01548","00089",1,0.76
"25","01548","00093",1,16
"26","01548","00105",2,3.125
"27","01548","00107",1,1.07
"28","01553","00004",1,2
"29","01553","00013",2,2.1
"30","01553","00015",1,2
"31","01553","00032",1,0.6
"32","01553","00036",1,0.5
"33","01553","00044",1,1
"34","01553","00055",2,0.7
"35","01553","00066",1,0.35
"36","01553","00071",1,0.3
"37","01553","00079",2,1.4
"38","01553","00090",3,2.85
"39","01553","00094",1,2
"40","01553","00105",2,4.5
"41","01553","00112",1,0.6
"42","01562","00002",1,3.75
"43","01562","00011",1,3.2
"44","01562","00012",2,3.61
"45","01562","00027",1,2.26
"46","01562","00039",2,4
"47","01562","00043",1,1.5
"48","01562","00052",1,0.5
"49","01562","00055",3,19.5
"50","01562","00063",1,1.5
"51","01562","00070",1,1.87
"52","01562","00088",1,6.49
"53","01562","00095",1,2.74
"54","01562","00099",1,4.5
"55","01562","00114",1,0.41
"56","01572","00004",2,5.191
"57","01572","00014",1,1.8
"58","01572","00033",2,3.5
"59","01572","00036",2,1.4
"60","01572","00038",5,10
"61","01572","00055",2,3.75
"62","01572","00056",1,0.25
"63","01572","00057",2,1.6
"64","01572","00072",1,0.5
"65","01572","00074",1,3
"66","01572","00087",1,0.7
"67","01572","00089",1,6
"68","01572","00102",1,0.22
