"","CONGLOMERADO","NSELUA","N_PARCELAS","SUPERFICIE_TOTAL_HECT."
"1","01306","00016",1,6.5
"2","01306","00023",1,1.25
"3","01306","00032",1,0.25
"4","01306","00034",1,4.5
"5","01306","00051",1,9
"6","01306","00063",1,4
"7","01306","00073",2,4.1
"8","01306","00083",1,3.5
"9","01306","00093",1,1.7
"10","01306","00103",1,3
"11","01306","00119",1,5
"12","01306","00120",1,1
"13","01306","00122",1,0.5
"14","01306","00134",1,3
"15","01316","00001",1,29
"16","01316","00009",1,20.9
"17","01316","00023",1,4.79
"18","01316","00027",1,28
"19","01316","00031",1,4
"20","01316","00032",2,29
"21","01316","00035",1,16
"22","01316","00056",1,15
"23","01316","00057",2,6.56
"24","01316","00059",1,120
"25","01316","00067",2,3.45
"26","01316","00071",1,4
"27","01316","00084",2,2.3
"28","01316","00098",1,3
"29","01319","00002",5,41
"30","01319","00006",1,1
"31","01319","00020",1,3.25
"32","01319","00032",2,1.5
"33","01319","00050",1,1
"34","01319","00063",1,4
"35","01319","00064",1,5
"36","01319","00077",1,1
"37","01319","00079",1,1
"38","01319","00095",2,2.85
"39","01319","00112",3,7.5
"40","01319","00129",2,3
"41","01319","00143",2,1
"42","01319","00163",2,2.15
"43","01328","00012",1,10
"44","01328","00020",1,10
"45","01328","00037",1,2
"46","01328","00041",1,1.5
"47","01328","00047",1,2
"48","01328","00056",1,5
"49","01328","00066",1,1.45
"50","01328","00084",2,4.95
"51","01328","00107",1,1.5
"52","01328","00113",1,18
"53","01328","00132",1,4.75
"54","01328","00137",1,2.75
"55","01328","00160",1,5
"56","01342","00010",4,19
"57","01342","00019",2,1.25
"58","01342","00034",1,0.2
"59","01342","00047",1,1.5
"60","01342","00048",2,0.175
"61","01342","00060",5,7.5
"62","01342","00063",1,0.5
"63","01342","00084",3,1.25
"64","01342","00089",4,4.75
"65","01342","00104",1,5.8
"66","01342","00118",1,2
"67","01342","00121",2,0.625
"68","01342","00123",1,1
"69","01342","00127",1,0.125
"70","01346","00003",1,0.25
"71","01346","00017",2,10
"72","01346","00030",2,0.38
"73","01346","00035",1,0.18
"74","01346","00051",1,1.25
"75","01346","00057",2,0.5
"76","01346","00063",1,1
"77","01346","00074",2,0.7
"78","01346","00078",1,0.5
"79","01346","00085",1,0.75
"80","01346","00097",1,0.25
"81","01346","00106",2,0.5
"82","01346","00112",6,1
"83","01347","00006",4,1.45
"84","01347","00014",2,1.25
"85","01347","00023",1,0.75
"86","01347","00034",1,0.5
"87","01347","00036",2,1.5
"88","01347","00045",3,2.525
"89","01347","00053",5,5.75
"90","01347","00063",4,1.75
"91","01347","00069",1,0.2
"92","01347","00084",5,32
"93","01347","00085",3,3
"94","01347","00092",2,2.5
"95","01347","00094",2,0.65
"96","01348","00006",2,0.75
"97","01348","00020",4,3
"98","01348","00025",2,1
"99","01348","00033",2,2
"100","01348","00046",1,1
"101","01348","00060",4,1.5
"102","01348","00072",3,4
"103","01348","00073",3,5
"104","01348","00091",1,7
"105","01348","00099",1,1
"106","01348","00101",1,1
"107","01348","00116",2,2
"108","01348","00138",1,1
"109","01348","00139",2,2.5
"110","01361","00004",2,1
"111","01361","00011",2,10.25
"112","01361","00015",1,14
"113","01361","00029",1,1
"114","01361","00041",3,4
"115","01361","00049",1,3.5
"116","01361","00057",1,0.05
"117","01361","00070",2,3
"118","01361","00091",1,5
"119","01361","00105",1,4
"120","01361","00106",1,1
"121","01361","00121",2,1.02
"122","01361","00128",1,1
"123","01364","00006",1,25
"124","01364","00007",1,240
"125","01364","00008",1,9.1
"126","01364","00011",2,50
"127","01364","00035",2,35
"128","01364","00038",1,5
"129","01364","00042",1,5
"130","01364","00051",1,5
"131","01364","00060",1,5
"132","01364","00068",1,5
"133","01364","00075",1,5
"134","01364","00080",1,5
"135","01364","00088",2,0.56
"136","01367","00003",3,7
"137","01367","00004",2,6.7
"138","01367","00016",3,7
"139","01367","00039",1,13.5
"140","01367","00056",1,5
"141","01367","00061",2,3
"142","01367","00081",1,5
"143","01367","00122",1,7
"144","01367","00148",1,6
"145","01376","00001",2,3
"146","01376","00005",1,0.25
"147","01376","00016",2,3
"148","01376","00028",1,6
"149","01376","00031",1,1.2
"150","01376","00045",2,2.25
"151","01376","00055",1,1
"152","01376","00064",2,5.25
"153","01376","00077",2,4
"154","01376","00079",1,1
"155","01376","00080",7,8.8
"156","01376","00096",2,2.5
"157","01376","00109",2,4.25
"158","01376","00111",3,2.25
"159","01389","00004",1,2.5
"160","01389","00015",3,9.46
"161","01389","00017",3,1.601
"162","01389","00029",1,1.7
"163","01389","00030",2,3.07
"164","01389","00034",1,15
"165","01389","00048",2,3
"166","01389","00067",2,2.55
"167","01389","00069",2,1.807
"168","01389","00082",4,0.243
